,question,model_prediction,ground_truth
0,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1 state exactly? Answer with only the text of the rule and no other words.," Graded on Accuracy and Completeness
     Graded on Accuracy and Completeness
D.2.3  Facilities  
The Facilities must:  
• Allow for the safe and effective operation of the vehicle  
• Have adequate space for vehicle maintenance , vehicle storage and vehicle access for 
teams with vehicles of different sizes  
• Have adequate lighting for vehicle maintenance and vehicle access  
• Have a maneuverable area of sufficient size for vehicle testing  
• Have a paddock area of sufficient size for vehicle parking  
• Have adequate fire suppression and emergency evacuation plans  
• Have adequate waste disposal facilities  
• Have adequate recycling facilities  
• Have adequate waste reduction facilities  
• Have adequate emergency response plans  
• Have adequate maintenance facilities  
• Have adequate office and meeting space  
• Have adequate restrooms  
• Have adequate dining facilities  
• Have adequate parking  
• Have adequate access to the competition area  
  GR.","CONFIGURATION
The vehicle must be open wheeled and open cockpit (a formula style body) with four wheels
that are not in a straight line."
1,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1.1 state exactly? Answer with only the text of the rule and no other words.," Team participation in the competition is limited to teams from universities or colleges which:
a. Are accredited by their national or regional accrediting body; or
b. Are eligible for accreditation by their national or regional accrediting body
    ","Open Wheel
Open Wheel vehicles must satisfy all of the following criteria:
a. The top 180° of the wheels/tires must be unobstructed when viewed from vertically
above the wheel.
b. The wheels/tires must be unobstructed when viewed from the side.
c. No part of the vehicle may enter a keep out zone defined by two lines extending
vertically from positions 75 mm in front of and 75 mm aft of, the outer diameter of the
front and rear tires in the side view elevation of the vehicle, with tires steered straight
ahead. This keep out zone will extend laterally from the outside plane of the wheel/tire
to the inboard plane of the wheel/tire."
2,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1.2 state exactly? Answer with only the text of the rule and no other words.,"30 minutes into the Dynamic Event, the Dynamic Area is closed for approximately 10 minutes for maintenance.
    ","Wheelbase
The vehicle must have a minimum wheelbase of 1525 mm"
3,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1.3.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, sponsors, and other individuals associated with the competition must not receive any
information concerning the details of the vehicle design for any team in the competition.
    ","The track and center of gravity must combine to provide sufficient rollover stability. See
IN.9.2"
4,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1.3.2 state exactly? Answer with only the text of the rule and no other words.,"3.1.4
Draft rules or proposals are not official, may or may not be implemented, and are
merely suggestions.  
Draft rules may be posted on the website for comments, but are not official until
published in the formal manner.  
Draft results or other documents related to the competition may not be made public.
    ",The smaller track of the vehicle (front or rear) must be no less than 75% of the larger track.
5,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1.4.1 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the dynamic event, the vehicle must be presented for Inspection at the dynamic event location.
    ","Ground clearance must be sufficient to prevent any portion of the vehicle except the tires
from touching the ground during dynamic events"
6,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1.4.2 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, sponsors, and other individuals associated with the competition must not receive financial
assistance from any organization other than the competition organizer.
    ","The distance to the ground below the Lower Side Impact Structure ( F.6.4.5, F.7.5.1 ) at its
lowest point should be 75 mm or less"
7,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.1.4.3 state exactly? Answer with only the text of the rule and no other words.,"3.8.4.2 Inspection Items - All items on the Inspection Item List must be in the Inspection Area and easily accessible to the Inspection Team.
    ","Intentional or excessive ground contact of any portion of the vehicle other than the tires will
forfeit a run or an entire dynamic event
The intent is that sliding skirts or other devices that by design, fabrication or as a consequence
of moving, contact the track surface are prohibited and any unintended contact with the
ground which causes damage, or in the opinion of the Dynamic Event Officials could result in
damage to the track, will result in forfeit of a run or an entire dynamic event"
8,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.2.1.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, sponsors, judges and other
individuals associated with the competition must not receive compensation for their work
on the competition other than prize money awarded at a competition event.
    ","The vehicle must be able to accommodate drivers of sizes ranging from 5th percentile female
up to 95th percentile male.
• Accommodation includes driver position, driver controls, and driver equipment.
• Anthropometric data may be found on the FSAE Online Website."
9,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.2.1.2 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the dynamic test event, the dynamic test area must be closed to all traffic.
    ",The driver’s head and hands must not contact the ground in any rollover attitude.
